"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C9","CAPC100X50X65","-21.2mm","-12.85mm","-21.2mm","-12.85mm","-20.595mm","-12.85mm","T","180.00","100n"
"C8","CAPC100X50X65","15mm","11.05mm","15mm","11.05mm","15mm","11.655mm","T","270.00","10u"
"C7","CAPC100X50X65","18.2mm","11.05mm","18.2mm","11.05mm","18.2mm","10.445mm","T","90.00","47n"
"C6","CAPC100X50X65","12.5mm","8.65mm","12.5mm","8.65mm","13.105mm","8.65mm","T","180.00","1u"
"C5","CAPC100X50X65","21.5mm","7.65mm","21.5mm","7.65mm","21.5mm","7.045mm","T","90.00","10u"
"C4","CAPC100X50X65","20mm","7.65mm","20mm","7.65mm","20mm","7.045mm","T","90.00","10u"
"C1","CAPC100X50X65","-32mm","4.25mm","-32mm","4.25mm","-31.395mm","4.25mm","T","180.00","100n"
"FB1","BEADC1608X95N","-16.6mm","4.75mm","-16.6mm","4.75mm","-16.6mm","4.015mm","T","90.00","BLM18RK121SN1D"
"FB2","BEADC1608X95N","-8mm","-1.15mm","-8mm","-1.15mm","-8.735mm","-1.15mm","T","360.00","BLM18RK121SN1D"
"FB3","BEADC1608X95N","-7.9mm","2.25mm","-7.9mm","2.25mm","-8.635mm","2.25mm","T","360.00","BLM18RK121SN1D"
"FB4","BEADC1608X95N","-35.8mm","10.65mm","-35.8mm","10.65mm","-36.535mm","10.65mm","T","360.00","BLM18BD252SN1D"
"FB5","BEADC1608X95N","-34mm","-11.05mm","-34mm","-11.05mm","-34.735mm","-11.05mm","T","360.00","BLM18BD252SN1D"
"L1","IND1210","21.3mm","11.25mm","21.3mm","11.25mm","20.125mm","11.25mm","T","360.00","1uH"
"L2","IND1210","24.1mm","6.65mm","24.1mm","6.65mm","24.1mm","7.825mm","T","270.00","1uH"
"SW1","SW_KSC621GLFS","-25.2mm","0mm","-25.2mm","0mm","-23.2mm","-4.45mm","T","90.00","KSC621GLFS"
"U9","QFN50P500X500X80-29N","4.6mm","2.15mm","4.6mm","2.15mm","2.24mm","3.65mm","T","360.00","USB to UART USB 2.0 UART Interface 28-QFN"
"R49","RESC0402","6mm","6.95mm","6mm","6.95mm","5.5mm","6.95mm","T","360.00","0R"
"R50","RESC0402","6mm","5.85mm","6mm","5.85mm","5.5mm","5.85mm","T","360.00","0R"
"D4","SOT143","-16.6mm","8.35mm","-16.6mm","8.35mm","-17.625mm","9.11mm","T","270.00","SP0503BAHTG_8.5V_TVS_DIODE"

