40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#5df14b,#5df14b,#5df14b,#5df14b,#5df14b,#5df14b
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#5df14b,#5df14b,#5df14b,#5df14b,#5df14b,#5df14b
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#000000,#000000,#25b609,#25b609,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#000000,#000000,#25b609,#25b609,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#5df14b,#5df14b,#000000,#000000,#5df14b,#5df14b,#5df14b,#5df14b
40,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#5df14b,#5df14b,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#5df14b,#5df14b,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609,#25b609,#25b609
40,#000000,#000000,#25b609,#25b609,#25b609,#25b609,#5df14b,#5df14b,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#5df14b,#5df14b,#5df14b,#5df14b
40,#25b609,#25b609,#25b609,#25b609,#5df14b,#5df14b,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609
40,#25b609,#25b609,#5df14b,#5df14b,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609
40,#5df14b,#5df14b,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#5df14b,#5df14b
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#25b609,#25b609
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#5df14b,#5df14b
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#5df14b,#5df14b
40,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#5df14b,#5df14b
